1,Ana,1500.50,200.0
2,Carlos,1200.00,null
3,Beto,-500.00,100.0
4,Diana,2000.00,500.50
5,Elena,1800.00,null
6,Felipe,900.00,50.0
7,Gloria,2200.00,300.0
8,Hector,1750.00,null
9,Ines,1350.00,100.0
10,Juan,-1600.00,250.0
11,Karen,2100.00,null
12,Luis,1900.50,150.0
13,Maria,2500.00,400.0
14,Nicolas,1100.00,null
15,Olga,1450.00,200.0
16,Pablo,-1300.00,50.0
17,Quim,1650.00,null
18,Rosa,2300.00,350.0
19,Sergio,1250.00,100.0
20,Teresa,1950.00,null
21,Ulises,1800.00,250.0
22,Victoria,-2000.00,null
23,Walter,2400.00,500.0
24,Ximena,1550.00,150.0
25,Yago,1400.00,null
26,Zoe,1700.00,200.0
27,Alvaro,1150.00,50.0
28,Blanca,-1250.00,100.0
29,Camilo,1900.00,null
30,Daniela,2150.00,300.0
31,Esteban,1600.00,null
32,Fernanda,2600.00,600.0
33,Gabriel,1350.00,150.0
34,Helena,-1400.00,null
35,Ignacio,1750.00,250.0
36,Julia,2050.00,350.0
37,Kevin,1200.00,null
38,Laura,1500.00,100.0
39,Martin,1850.00,200.0
40,Natalia,-1600.00,50.0
41,Oscar,2250.00,null
42,Paula,2450.00,450.0
43,Quique,1300.00,100.0
44,Raquel,1700.00,null
45,Samuel,-1900.00,300.0
46,Tatiana,2100.00,250.0
47,Uriel,1450.00,150.0
48,Valeria,1800.00,null
49,William,2350.00,400.0
50,Xavier,1650.00,200.0
51,Yolanda,-1550.00,null
52,Zacarias,1950.00,350.0
53,Andrea,1250.00,50.0
54,Bruno,1400.00,100.0
55,Carolina,2500.00,null
56,Diego,-2200.00,500.0
57,Elvira,1850.00,250.0
58,Fabian,1600.00,150.0
59,Gabriela,1750.00,null
60,Hugo,-1350.00,100.0
61,Isabel,2050.00,300.0
62,Javier,2150.00,null
63,Karla,1450.00,200.0
64,Leandro,1900.00,350.0
65,Monica,-1200.00,null
66,Nestor,2300.00,450.0
67,Olivia,1700.00,150.0
68,Patricio,1550.00,null
69,Quintina,2400.00,500.0
70,Ramiro,-1650.00,200.0
71,Silvia,1800.00,250.0
72,Tomas,1950.00,null
73,Ursula,2100.00,300.0
74,Vicente,1300.00,100.0
75,Wanda,-1400.00,50.0
76,Ximeno,1750.00,null
77,Yara,2250.00,400.0
78,Zinedine,2600.00,600.0
79,Armando,1500.00,200.0
80,Beatriz,-1850.00,null
81,Cristian,1650.00,150.0
82,Diana,2000.00,350.0
83,Eduardo,1400.00,null
84,Florencia,1900.00,250.0
85,Gustavo,-1550.00,100.0
86,Hilda,2150.00,300.0
87,Ivan,2350.00,null
88,Julieta,1750.00,200.0
89,Kilian,1250.00,50.0
90,Lorena,-2100.00,450.0
91,Mateo,1800.00,null
92,Nuria,1950.00,250.0
93,Octavio,1600.00,150.0
94,Patricia,2450.00,500.0
95,Quintin,-1350.00,null
96,Rodrigo,1700.00,200.0
97,Sofia,2200.00,350.0
98,Teodoro,1500.00,100.0
99,Urbano,-1900.00,null
100,Veronica,2550.00,550.0
